Neighborhood,group_sic_code_name_ext,group_sic_code,count
Auburn Gresham,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,38
Auburn Gresham,Business Services NEC,738999.0,5
Auburn Gresham,Butchering (Wholesale),514701.0,2
Auburn Gresham,Cafes,581214.0,1
Auburn Gresham,Car Service,411904.0,7
Auburn Gresham,Car Washes,754201.0,3
Auburn Gresham,Caterers,581212.0,1
Auburn Gresham,Cell Phones,599902.0,6
Auburn Gresham,Church Organizations,866104.0,51
Auburn Gresham,Clothing Retail,565101.0,2
Auburn Gresham,Clubs,864108.0,1
Auburn Gresham,Cocktail Lounges,581303.0,6
Auburn Gresham,Comedy Clubs,581307.0,1
Auburn Gresham,Community Organizations,864110.0,3
Auburn Gresham,Computer Parts & Supplies,573402.0,2
Auburn Gresham,Construction Building Contractors,152130.0,9
Auburn Gresham,Construction Materials NEC (Wholesale),503999.0,2
Auburn Gresham,Convenience Stores,541103.0,2
Auburn Gresham,Copiers,504403.0,1
Auburn Gresham,Curtains Shower & Bath Wholesale,502332.0,1
Auburn Gresham,Day Care,835101.0,18
Auburn Gresham,Delivery Service,421205.0,1
Auburn Gresham,Department Stores,531102.0,5
Auburn Gresham,Dry Cleaners,721201.0,2
Auburn Gresham,Dvd Sales & Service,573132.0,3
Auburn Gresham,Electric Equipment & Supplies Retail,521135.0,1
Auburn Gresham,Electronic Equipment & Supplies Retail,573117.0,2
Auburn Gresham,Federal Government General Offices,919901.0,5
Auburn Gresham,Financial Planners,628205.0,1
Auburn Gresham,Flooring,175203.0,1
Auburn Gresham,Florists,599201.0,3
Auburn Gresham,Funeral Homes,726103.0,5
Auburn Gresham,Furniture Stores,571216.0,2
Auburn Gresham,Gas Stations,554101.0,13
Auburn Gresham,Glass Replacement Shops,753698.0,1
Auburn Gresham,Government Pension Health/Welfare Funds,637104.0,3
Auburn Gresham,Grills Barbecue,572233.0,2
Auburn Gresham,Grocers Health Foods,541108.0,2
Auburn Gresham,Grocery Stores,541105.0,14
Auburn Gresham,Health Clubs & Gyms,799101.0,2
Auburn Gresham,Home Centers,521138.0,3
Auburn Gresham,Homes Personal Care Facility,805911.0,3
Auburn Gresham,Hotels & Motels,701101.0,1
Auburn Gresham,House Cleaning,734922.0,1
Auburn Gresham,Investments,621111.0,1
Auburn Gresham,Jewelers,594409.0,1
Auburn Gresham,Kitchen Accessories,571928.0,1
Auburn Gresham,Laundry & Garment Services NEC,721999.0,6
Auburn Gresham,Legal Services,811198.0,1
Auburn Gresham,Manicurists,723102.0,4
Auburn Gresham,Manufacturers,399903.0,2
Auburn Gresham,Miscellaneous Food Stores,549999.0,1
Auburn Gresham,Motorcycle Dealers,557106.0,1
Auburn Gresham,News Service,738301.0,1
Auburn Gresham,Nursing & Personal Care NEC,805999.0,8
Auburn Gresham,Office Equipment (Wholesale),504498.0,1
Auburn Gresham,Parks,799951.0,11
Auburn Gresham,Pet Supplies,599929.0,1
Auburn Gresham,Pharmacies,591205.0,3
Auburn Gresham,Photography,722121.0,1
Auburn Gresham,Post Offices,431101.0,1
Auburn Gresham,Preschools,835102.0,1
Auburn Gresham,Publishers,274105.0,1
Auburn Gresham,Real Estate Agents,653118.0,19
Auburn Gresham,Real Estate Developers,655202.0,1
Auburn Gresham,Recycling Centers (Wholesale),509312.0,1
Auburn Gresham,Resorts,701111.0,1
Auburn Gresham,Retail Shops,531104.0,6
Auburn Gresham,Rubber & Plastic Footwear Retail,566112.0,1
Auburn Gresham,Schools (K-12),821103.0,14
Auburn Gresham,Sportswear,569913.0,1
Auburn Gresham,State Government General Offices,919902.0,1
Auburn Gresham,Stock Exchanges,623102.0,2
Auburn Gresham,Subs & Sandwiches,581219.0,3
Auburn Gresham,Tax Return Preparation & Filing,729101.0,10
Auburn Gresham,Taxis,412101.0,2
Auburn Gresham,Telecommunications Services,481302.0,1
Auburn Gresham,Telephone Companies,481304.0,1
Auburn Gresham,Tire Service,753402.0,1
Auburn Gresham,Train Stations,401190.0,1
Auburn Gresham,Transportation Services,411914.0,3
Auburn Gresham,Travel Agents,472402.0,5
Auburn Gresham,Variety Stores,533101.0,4
Auburn Gresham,Veterinarians Dvm Vmd Public Health,74220.0,1
Auburn Gresham,Wines Retail,592103.0,8
Austin,(All) Auto Dealers,551102.0,10
Austin,(All) Dentists,802101.0,4
Austin,(All) Doctors,801101.0,5
Austin,(All) Insurance,641112.0,4
Austin,(All) Places Of Worship,866107.0,2
Austin,(All) Restaurants,581208.0,20
Austin,Advertising Marketing,731115.0,1
Austin,Apartments,651303.0,1
Austin,Auto Body Shops,753201.0,2
